Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win,Mac,Level,Task,Notes,Ticket No.,Win,Mac
Installing and Activating,,,,,,,
Installation,,,,,,,
"=Switch(INDIRECT(""G5""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H5""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Install over Release Version,,,19/03/18 - Win 10 - CT - Success,19/03/18 - Win 10 - CT - Success
"=Switch(INDIRECT(""G6""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H6""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Uninstall previous version,,,Success,Success
"=Switch(INDIRECT(""G7""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H7""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Delete all preferences,,,,
"=Switch(INDIRECT(""G8""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H8""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Install latest version,,,,
"=Switch(INDIRECT(""G9""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H9""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Ensure DMG's are Signed,Mac only,,,
"=Switch(INDIRECT(""G10""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H10""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Import / Update Library,You'll need to install and create a libray in the previous version.,,,
"=Switch(INDIRECT(""G11""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H11""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Ensure SRT_Helper / SS_Bluetooth quits after close of SS,,,,
"=Switch(INDIRECT(""G12""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H12""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Thumbnails,,,,Success
Activation,N/A,,,,,,N/A
Set 1,Pass,,,,,,N/A
"=Switch(INDIRECT(""G15""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H15""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,SSSE to SSDE,SSDE-44DM-A4PP-AN22,,,
"=Switch(INDIRECT(""G16""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H16""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,SSDE to SSAE,SSAE-Z7QP-7NTA-EKSU,,,
"=Switch(INDIRECT(""G17""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H17""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,SSAE to SSBE,,,,
