Current Test,,,,,,,,.,,,.,,
Level 3,,,,,,,,,Level 2,,,Total Tests,
Win,,,,Mac,,,,,Win,Mac,,Level 2,Level 3
Success,Fail,N/A,Not Tested,Success,Fail,N/A,Not Tested,,,,,197,1285
,Installing and Activating,,,,,,,,,,,,
,Installation,,,,,,,,,,,,
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,,,
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
,Activation,,,,,,,,,,,,
,Set 1,,,,,,,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
,Set 2,,,,,,,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
,File Support,,,,,,,,,,,,
,Open,,,,,,,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
,Merge,,,,,,,,,,,,
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,
