Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
Installing and Activating,,,,,,,
Installation,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G5""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H5""))>0,0),""Mac Pass"",""Mac Fail"")",,Install over Release Version,,,19/03/18 - Win 10 - CT - Success,19/03/18 - Win 10 - CT - Success
"=if(IFERROR(search(""Success"",INDIRECT(""G6""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H6""))>0,0),""Mac Pass"",""Mac Fail"")",,Uninstall previous version,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G7""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H7""))>0,0),""Mac Pass"",""Mac Fail"")",,Delete all preferences,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G8""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H8""))>0,0),""Mac Pass"",""Mac Fail"")",,Install latest version,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G9""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H9""))>0,0),""Mac Pass"",""Mac Fail"")",,Ensure DMG's are Signed,Mac only,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G10""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H10""))>0,0),""Mac Pass"",""Mac Fail"")",,Import / Update Library,You'll need to install and create a libray in the previous version.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G11""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H11""))>0,0),""Mac Pass"",""Mac Fail"")",,Ensure SRT_Helper / SS_Bluetooth quits after close of SS,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G12""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H12""))>0,0),""Mac Pass"",""Mac Fail"")",,Thumbnails,,,,
Activation,,,,,,,
Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G15""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H15""))>0,0),""Mac Pass"",""Mac Fail"")",,SSSE to SSDE,SSDE-44DM-A4PP-AN22,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G16""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H16""))>0,0),""Mac Pass"",""Mac Fail"")",,SSDE to SSAE,SSAE-Z7QP-7NTA-EKSU,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G17""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H17""))>0,0),""Mac Pass"",""Mac Fail"")",,SSAE to SSBE,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G18""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H18""))>0,0),""Mac Pass"",""Mac Fail"")",,SSBE to SSSE,,,,
Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G20""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H20""))>0,0),""Mac Pass"",""Mac Fail"")",,SSSE to SSBE,SSBE-MPP3-WD3P-F427,,,
